id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:31:04 UTC,2.87 &#13217;,7.04 m,1.64 m,2.26 m,0.58 m
7,2023-06-09 13:32:13 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 13:34:51 UTC,1.63 &#13217;,4.87 m,1.23 m,1.63 m,0.15 m
19,2023-06-09 13:37:38 UTC,0.38 &#13217;,2.36 m,0.59 m,0.73 m,""
25,2023-06-09 13:40:04 UTC,1.64 &#13217;,5.04 m,1.08 m,1.83 m,0.21 m
28,2023-06-09 13:42:26 UTC,1.96 &#13217;,5.43 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 13:45:02 UTC,1.43 &#13217;,4.65 m,1.04 m,1.52 m,0.14 m
56,2023-06-09 13:47:04 UTC,0.73 &#13217;,3.25 m,0.82 m,1.09 m,0.18 m
58,2023-06-09 13:49:12 UTC,0.92 &#13217;,3.79 m,0.81 m,1.37 m,0.07 m
67,2023-06-09 13:50:10 UTC,1.20 &#13217;,9.85 m,1.11 m,1.49 m,0.38 m
81,2023-06-09 13:52:45 UTC,1.14 &#13217;,4.20 m,0.97 m,1.40 m,0.10 m
87,2023-06-09 13:55:54 UTC,1.68 &#13217;,5.06 m,1.20 m,1.48 m,""
92,2023-06-09 13:56:57 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 13:58:26 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
108,2023-06-09 13:59:31 UTC,1.75 &#13217;,7.62 m,1.57 m,1.89 m,0.22 m
