id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:14:11 UTC,2.41 &#13217;,9.78 m,1.62 m,2.26 m,0.58 m
7,2023-06-09 12:18:16 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 12:20:54 UTC,1.63 &#13217;,4.87 m,1.23 m,1.63 m,0.15 m
19,2023-06-09 12:22:44 UTC,85958.00 px,1120.58 px,282.00 px,346.00 px,118.00 px
25,2023-06-09 12:24:34 UTC,1.63 &#13217;,5.02 m,1.07 m,1.82 m,0.21 m
28,2023-06-09 12:27:12 UTC,1.96 &#13217;,5.44 m,1.21 m,1.90 m,0.21 m
46,2023-06-09 12:27:30 UTC,1.43 &#13217;,4.65 m,1.04 m,1.52 m,0.14 m
56,2023-06-09 12:30:09 UTC,0.73 &#13217;,3.25 m,0.82 m,1.09 m,0.18 m
58,2023-06-09 12:30:34 UTC,0.92 &#13217;,3.79 m,0.81 m,1.38 m,0.07 m
67,2023-06-09 12:32:25 UTC,266518.50 px,4643.18 px,525.84 px,701.16 px,181.00 px
81,2023-06-09 12:34:31 UTC,1.14 &#13217;,4.20 m,0.97 m,1.40 m,0.10 m
87,2023-06-09 12:35:30 UTC,1.68 &#13217;,5.06 m,1.20 m,1.48 m,0.24 m
92,2023-06-09 12:36:58 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 12:38:16 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
108,2023-06-09 12:38:48 UTC,1.75 &#13217;,7.62 m,1.57 m,1.89 m,0.22 m
109,2023-06-09 12:40:39 UTC,1.52 &#13217;,4.91 m,1.01 m,1.75 m,0.20 m
112,2023-06-09 12:41:57 UTC,1.25 &#13217;,4.31 m,1.08 m,1.32 m,0.10 m
119,2023-06-09 12:43:47 UTC,1.66 &#13217;,4.94 m,1.18 m,1.65 m,0.19 m
133,2023-06-09 12:44:15 UTC,1.09 &#13217;,4.16 m,0.85 m,1.54 m,1.54 m
137,2023-06-09 12:45:22 UTC,2.99 &#13217;,7.39 m,1.57 m,2.34 m,0.42 m
150,2023-06-09 12:46:47 UTC,1.62 &#13217;,5.03 m,1.07 m,1.74 m,0.11 m
151,2023-06-09 12:49:38 UTC,1.27 &#13217;,9.61 m,1.54 m,2.05 m,0.11 m
