Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.",
Ne61_genotyping_noUDG,NE61,AR3.4K_LowCov,..,2021,MaoFuCell2021,Direct: IntCal20,3421,23,"1510-1425 calBCE (3210±25 BP, BA-152205)",..,China_AmurRiver_BA,"Nepal, Kathmandu",China,45.88,126.22,Repulldown on 3.2M snpset,1240K,1,0.02445,590361,590361,U,n/a (no relatives detected),..,n/a (Sex Unknown),574,D4b1a2a,..,5,..,ss.minus,HRR163284,PASS,..,
I17622,I17622,"2637; Tumulus 1, grave ?, 10",tooth (molar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Main period of tumulus use,3050,173,1400-800 BCE,adult ,Albania_BA_IA_lc,"Southwest, Dukat",Albania,40.295,19.49027778,Repulldown on 3.2M snpset,1240K,1,0.003229,3096,1641,M,n/a (no relatives detected),..,..,0.5948,n/a (<2x),n/a (<2x),0.096,0.375,ss.half,S17622.E1.L1,PASS,"2500.to.5000.SNPs, damage.ss.half=0.096",
I19493_in.preparation,I19493,"Kap. Andreevo, Kyuchuk Chair, Pit 199",bone (long bone),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,2750,173,1100-500 BCE,Newborn,Bulgaria_EIA,Kapitan Andreevo (South),Bulgaria,41.73,26.33,Repulldown on 3.2M snpset,1240K,2,0.066,72615,38349,F,n/a (no relatives detected),n/a (female),n/a (female),100.725149,K1a4a1,"[0.963,0.983]",0.304,0.014885875,"ss.half,ss.half","S19493.Y1.E1.L1,S19493.Y1.E2.L1",PASS,..,
I19479_in.preparation,I19479,Kazanlak M3113/Gr2,bone (long bone),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,2025,130,300 BCE - 150 CE,adult; 20-40 yrs.,Bulgaria_LIA_lc,"Kazanlak, Yasenovo, Stara Zagora",Bulgaria,42.62,25.41,Repulldown on 3.2M snpset,1240K,1,0.002,2776,1426,U,n/a (no relatives detected),n/a  (sex unknown),n/a  (sex unknown),0.684,n/a (<2x),n/a (<2x),0.226,0.382,ss.half,S19479.Y1.E2.L1,QUESTIONABLE,2500.to.5000.SNPs,
I16326,I16326,"2111 (P7A-32607, Obj. 10, gr ?)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2625,72,800-550 BCE,..,Czech_IA_Hallstatt,"NW Bohemia, Louny, Stradonice",Czech Republic,50.291389,14.045556,Repulldown on 3.2M snpset,1240K,1,1.043185,487289,262694,F,n/a (no relatives detected),n/a (female),n/a (female),136.3,H7,"[0.966,0.992]",0.096,0.017,ss.half,S16326.Y1.E1.L1,PASS,damage.ss.half=0.096,
I19043_old,I19043,GENLAB 320 (WD78 650),tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2200,87,400-100 BCE,..,England_MIA_LIA_o1_lc,"England, Hampshire, Winnall Down",United Kingdom,51.07,-1.29,Repulldown on 3.2M snpset,1240K,1,0.015,14802,7619,F,n/a (no relatives detected),n/a (female),n/a (female),11.91,J1c1,"[0.953,0.992]",0.066,0.013,ss.half,S19043.Y1.E1.L1,PASS,damage.ss.half=0.066,
I13433,I13433,KS-T1-8; comingled burial Tomb A,tooth,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3200,58,1350-1150 BCE,..,Greece_Delphi_BA_Mycenaean,"Kastrouli (Desfina, Phokis, near Delphi)",Greece,38.399083,22.575,Repulldown on 3.2M snpset,1240K,4,0.026,61071,32735,F,n/a (no relatives detected),n/a (female),n/a (female),4.033979,U3b1,"[0.91,0.992]",0.241,0.01759015,"ds.half,ds.half,ss.half,ss.half","S13433.E1.L1,S13433.E1.L2,S13433.E1.L5,S13433.E1.L6",PASS,..,
I13531,I13531,KAS-3; comingled burial Tomb A,bone,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3200,58,1350-1150 BCE,..,Greece_Delphi_BA_Mycenaean,"Kastrouli (Desfina, Phokis, near Delphi)",Greece,38.399083,22.575,Repulldown on 3.2M snpset,1240K,4,0.022,66140,36619,F,n/a (no relatives detected),n/a (female),n/a (female),16.404852,U3b,"[0.92,0.969]",0.139,0.019507187,"ds.half,ds.half,ss.half,ss.half","S13531.E1.L1,S13531.E1.L2,S13531.E1.L5,S13531.E1.L6",PASS,"mtcontam=[0.92,0.969]",
I13580,I13580,KAS-10; comingled burial Tomb A,bone,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3169,55,"1371-1123 calBCE (2990±25 BP, PSUAMS-6823)",..,Greece_Delphi_BA_Mycenaean,"Kastrouli (Desfina, Phokis, near Delphi)",Greece,38.399083,22.575,Repulldown on 3.2M snpset,1240K,4,0.028,133904,73842,M,n/a (no relatives detected),..,..,10.985093,K2b,"[0.967,0.997]",0.152,0.371757925,"ds.half,ds.half,ss.half,ss.half","S13580.E1.L1,S13580.E1.L2,S13580.E1.L5,S13580.E1.L6",PASS,..,
I6441_d,I6441,NMRK_2701,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3300,433,1500-1200 BCE,Mature adult ,Iraq_PPNA,Nemrik 9,Iraq,36.716667,42.85,Repulldown on 3.2M snpset,1240K,8,0.165752,166895,89553,M,n/a (no relatives detected),..,..,174.36351,HV1a'b'c,..,..,0.402211347,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half","S6441.E1.L2,S6441.E1.L3,S6441.E1.L4,S6441.E1.L5,S6441.E1.L6,S6441.E1.L7,S6441.E1.L8,S6441.E1.L9",PASS,..,
I6441,I6441,NMRK_2701; NK/2701,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3300,433,1500-1200 BCE,Mature adult ,Iraq_PPNA_contam,Nemrik 9,Iraq,36.716667,42.85,Repulldown on 3.2M snpset,1240K,8,1.636667,780606,417719,M,n/a (no relatives detected),..,..,174.36351,HV1a'b'c,"[0.934,0.966]",0.2155,0.403747041,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half","S6441.E1.L2,S6441.E1.L3,S6441.E1.L4,S6441.E1.L5,S6441.E1.L6,S6441.E1.L7,S6441.E1.L8,S6441.E1.L9",QUESTIONABLE,"Xcontam=[0.011,0.020], mtcontam=[0.934,0.966]",
I13778,I13778,"841; 3, nr. 1, Box D",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3234,51,"1386-1212 calBCE (3025±20 BP, PSUAMS-7882)",adult ,Montenegro_MLBA,Velika Gruda,Montenegro,42.366667,18.733333,Repulldown on 3.2M snpset,1240K,1,3.766536,829436,455723,M,n/a (no relatives detected),..,..,391.9,H1+16311,"[0.985,0.999]",0.11,0.412,ds.half,S13778.Y1.E1.L1,PASS,..,
I14688,I14688,"1706;  Tumulus 14, grave 92, 27",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Grave inventory and date(s) from I16253 of the same tumulus,2450,58,600-400 BCE,adult; 45+ yrs.,Albania_BA_IA,"Çinamak (Norteastern, Kukes District)",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,3.348854,765405,424816,M,n/a (no relatives detected),..,..,228.5,T2b,"[0.991,0.999]",0.109,0.413,ds.half,S14688.Y1.E1.L1,PASS,..,
I14690,I14690,"1708; Tumulus 4, (grave unknown) field inv. 678, 35",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Chronology of burial mound,3000,375,1700-400 BCE,..,Albania_BA_IA,"Çinamak (Norteastern, Kukes District)",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,2.295621,748453,411292,M,n/a (no relatives detected),..,..,290.8,T1a4,"[0.994,1.000]",0.155,0.397,ds.half,S14690.Y1.E1.L1,PASS,..,
I14692,I14692,"1710; Tumulus 16, grave 17, 18",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Chronology of burial mound,2900,318,1500-400 BCE,..,Albania_BA_IA,"Çinamak (Norteastern, Kukes District)",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,3.533113,799291,440547,F,n/a (no relatives detected),n/a (female),n/a (female),281.7,H1a,"[0.985,1.000]",0.127,0.008,ds.half,S14692.Y1.E1.L1,PASS,..,
I16251,I16251,"1941; Tumulus 14, Grave 37, 30",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Grave inventory and date(s) from I16253 of the same tumulus,2500,130,500-50 BCE,adult; 40+ yrs.,Albania_BA_IA,"Çinamak (Norteastern, Kukes District)",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,0.592027,422282,225939,M,n/a (no relatives detected),..,..,162.4,H1u2,"[0.992,1.000]",0.129,0.432,ss.half,S16251.Y1.E1.L1,PASS,..,
I16254,I16254,"1944;  Tumulus 16, grave 2, 26",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Grave inventory,2450,58,600-400 BCE,adult; 20-25 yrs.,Albania_BA_IA,"Çinamak (Norteastern, Kukes District)",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,0.144676,149756,79491,M,n/a (no relatives detected),..,..,20.46,T2b23,"[0.976,0.997]",0.151,0.418,ss.half,S16254.Y1.E1.L1,PASS,..,
I16256,I16256,"1946; Tumulus 20, Grave 12, 21",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Grave inventory,2500,87,700-400 BCE,..,Albania_BA_IA_1d.rel.I17633,"Çinamak (Norteastern, Kukes District) ",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,0.326516,286692,151065,F,√áinamak Family A (2 members) (1d: I16256-I17633/I27668),n/a (female),n/a (female),48.34,H+152,"[0.983,0.998]",0.146,0.014,ss.half,S16256.Y1.E1.L1,PASS,..,
I17640,I17640,"2700; Tumulus 4, grave 19, 37",tooth,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Grave inventory,2450,58,600-400 BCE,adult; 20-29 yrs.,Albania_BA_IA_lc,"Norteastern, Kukes District, Çinamak",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,0.005644,6236,3080,M,n/a (no relatives detected),..,..,1.717,n/a (<2x),n/a (<2x),0.074,0.405,ss.half,S17640.E1.L1,PASS,damage.ss.half=0.074,
