,file,class,x1,y1,x2,y2,score
0,Dobes & Limbursky_2013_Vlineves-KSK-004.jpg,grave_photo,144.85466,147.78426,355.64264,448.29205,0.5058258
1,Dobes & Limbursky_2013_Vlineves-KSK-005.jpg,grave_photo,34.23802,491.05807,507.97217,636.00433,0.1606893
2,Dobes & Limbursky_2013_Vlineves-KSK-005.jpg,map,-34.077866,523.7202,432.50183,766.95654,0.11880926
3,Dobes & Limbursky_2013_Vlineves-KSK-006.jpg,map,32.565598,82.250336,488.97308,352.48334,0.13703714
4,Dobes & Limbursky_2013_Vlineves-KSK-007.jpg,goods,439.3767,148.39774,467.18365,186.74963,0.12971035
5,Dobes & Limbursky_2013_Vlineves-KSK-007.jpg,goods,406.59778,138.65228,474.57318,223.18716,0.12045732
6,Dobes & Limbursky_2013_Vlineves-KSK-008.jpg,goods,420.0015,141.1082,466.72403,190.46931,0.2056669
7,Dobes & Limbursky_2013_Vlineves-KSK-009.jpg,scale,65.4718,588.3802,182.48116,606.59015,0.81262803
8,Dobes & Limbursky_2013_Vlineves-KSK-009.jpg,map,77.407455,200.33258,496.8639,580.0765,0.52794194
9,Dobes & Limbursky_2013_Vlineves-KSK-010.jpg,goods,429.7452,147.94655,464.88046,193.20406,0.28956974
10,Dobes & Limbursky_2013_Vlineves-KSK-014.jpg,scale,159.56738,466.1023,300.75656,484.36218,0.79664135
11,Dobes & Limbursky_2013_Vlineves-KSK-014.jpg,map,51.83185,65.93004,437.8691,486.25317,0.73043835
12,Dobes & Limbursky_2013_Vlineves-KSK-014.jpg,scale,141.91017,452.92007,354.16895,483.74704,0.31291357
13,Dobes & Limbursky_2013_Vlineves-KSK-014.jpg,grave_cross_section,-2.3946228,529.0154,500.04053,663.5073,0.16379365
14,Dobes & Limbursky_2013_Vlineves-KSK-014.jpg,arrow_up,444.76862,68.41233,459.29688,105.769066,0.13064839
15,Dobes & Limbursky_2013_Vlineves-KSK-014.jpg,map,103.0341,259.32623,494.11456,509.0899,0.115452245
16,Dobes & Limbursky_2013_Vlineves-KSK-015.jpg,goods,426.76584,148.2566,469.5449,195.10109,0.36978272
17,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,grave,276.17725,359.144,479.2796,565.08167,0.99768305
18,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skeleton_left_side,329.30795,416.46436,399.009,528.83,0.98554754
19,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skeleton_left_side,343.80322,133.75153,412.3344,219.21317,0.98174
20,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,grave,289.71356,65.589035,443.91595,323.6897,0.9565597
