Page,total lithics,false positives
1,0,""
2,0,""
3,0,""
4,0,""
5,0,""
6,0,""
7,0,""
8,0,""
9,0,""
10,0,""
11,0,""
12,0,""
13,7,""
14,0,""
15,11,""
16,8,""
17,0,""
18,21,""
19,0,""
20,0,""
21,20,""
22,0,""
23,0,""
24,4,""
25,0,""
26,0,""
27,23,""
28,0,""
29,0,""
30,25,""
31,12,""
32,0,""
33,11,""
34,0,""
35,17,""
36,0,""
37,0,""
38,0,""
39,0,""
40,1,""
41,0,""
42,0,""
43,1,""
44,0,""
45,1,""
46,14,""
47,0,""
48,2,""
49,0,""
50,0,""
51,0,""
52,1,""
53,0,""
54,3,""
55,0,""
56,13,""
57,10,""
58,0,""
59,12,""
60,8,""
61,0,""
62,0,""
63,3,""
64,0,""
65,12,""
66,13,""
67,0,""
68,13,""
69,0,""
70,1,""
71,0,""
72,8,""
73,11,""
74,0,""
75,2,""
76,0,""
77,0,""
78,27,""
79,25,""
80,0,""
81,0,""
82,8,""
83,0,""
84,1,""
85,0,""
86,11,""
87,0,""
88,0,""
89,0,""
90,0,""
91,0,""
92,2,""
93,0,""
94,0,""
95,12,""
96,0,""
97,0,""
98,3,""
99,0,""
100,0,""
101,12,""
102,0,""
103,8,""
104,3,""
105,0,""
106,0,""
107,0,""
108,0,""
109,0,""
110,1,""
111,0,""
112,2,""
113,0,""
114,1,""
115,0,""
116,1,""
117,0,""
118,1,""
119,0,""
120,0,""
121,0,""
122,2,""
123,0,""
124,0,""
125,0,""
126,1,""
127,0,""
128,9,""
129,0,""
130,0,""
131,0,""
132,1,""
133,0,""
134,1,""
135,0,""
136,12,""
137,0,""
138,0,""
139,2,""
140,0,""
141,1,""
142,0,""
143,6,""
144,0,""
145,1,""
146,0,""
147,3,""
148,0,""
149,0,""
150,0,""
151,7,""
152,0,""
153,1,""
154,0,""
155,0,""
156,0,""
157,1,""
158,0,""
159,1,""
160,0,""
161,1,""
162,0,""
163,0,""
164,0,""
165,1,""
166,0,""
167,1,""
168,0,""
169,0,""
170,0,""
171,0,""
172,0,""
173,1,""
174,0,""
175,1,""
176,0,""
177,3,""
178,0,""
179,0,""
180,0,""
181,1,""
182,0,""
183,0,""
184,0,""
185,0,""
